"cpi_year","cpi","adj_factor_2015","adj_factor_2016","adj_factor_2017"
1947,22.3316666666667,0.0942315110482385,0.0930450250007725,0.0914639973569028
1948,24.045,0.101461154555783,0.10018363875559,0.0984813112820387
1949,23.8091666666667,0.100466023664424,0.0992010377377816,0.0975154066902033
1950,24.0625,0.101534998190831,0.100256552612035,0.0985529861810795
1951,25.9733333333333,0.109598019865344,0.108218051318161,0.106379202538247
1952,26.5666666666667,0.112101670729825,0.110690178260491,0.108809322924773
1953,26.7683333333333,0.112952630714662,0.111530423653811,0.109635290808957
1954,26.865,0.113360528889212,0.11193318590846,0.110031209298897
1955,26.7958333333333,0.113068670712595,0.111645002571081,0.109747922793164
1956,27.1908333333333,0.114735427046532,0.1132907724737,0.111365727657227
1957,28.1133333333333,0.118628041522628,0.117134374334878,0.115144018763806
1958,28.8808333333333,0.121866612374013,0.120332167753257,0.118287475050309
1959,29.15,0.123002397808321,0.121453652307151,0.119389903259365
1960,29.585,0.124837939593797,0.123266082453072,0.121171536464093
1961,29.9016666666667,0.126174157751806,0.124585476045889,0.122468510827688
1962,30.2533333333333,0.127658063179911,0.126050697351595,0.123908834989365
1963,30.6333333333333,0.129261524969522,0.127633969662975,0.125465204225679
1964,31.0383333333333,0.130970477666344,0.129321404626419,0.127123966174909
1965,31.5283333333333,0.133038099447685,0.131362992606882,0.129130863348051
1966,32.4708333333333,0.137015106649549,0.135289924589712,0.132991068624961
1967,33.375,0.140830361127023,0.139057140506043,0.136694271742069
1968,34.7916666666667,0.146808179202327,0.144959690789695,0.142496525473942
1969,36.6833333333333,0.154790324514645,0.152841331462572,0.150244240751208
1970,38.8416666666667,0.16389770617055,0.161834040424136,0.159084144966238
1971,40.4833333333333,0.170824942410756,0.168674054576369,0.165807933114349
1972,41.8083333333333,0.176415960492952,0.174194675135785,0.171234746898866
1973,44.425,0.187457342114396,0.185097032718531,0.181951850850679
1974,49.3166666666667,0.208098396292065,0.205478191639142,0.201986691677793
1975,53.825,0.227121923225828,0.224262189894764,0.220451510906872
1976,56.9333333333333,0.24023795935576,0.237213079634778,0.233182338212687
1977,60.6166666666667,0.255780286351551,0.252559710372274,0.248268197915557
1978,65.2416666666667,0.275296104185633,0.271829801004197,0.267210849804908
1979,72.5833333333333,0.306275267270004,0.302418899827125,0.297280176497732
1980,82.3833333333333,0.347627702896815,0.34325065943639,0.337418119960572
1981,90.9333333333333,0.383705593163064,0.378874286442432,0.372436427777641
1982,96.5333333333333,0.407335556378385,0.402206720504869,0.395372395470692
1983,99.5833333333333,0.420205447058157,0.414914564056732,0.407864306446372
1984,103.933333333333,0.438560864912915,0.433038865515947,0.425680638493653
1985,107.6,0.454032864637233,0.4483160544854,0.440698236387913
1986,109.691666666667,0.462858937207241,0.457030996374792,0.449265093368502
1987,113.616666666667,0.479421009639407,0.473384532748911,0.465340749296221
1988,118.275,0.499077482016438,0.492793506916921,0.484419924802792
1989,123.941666666667,0.522988754317655,0.51640370805153,0.507628939730284
1990,130.658333333333,0.551330644721745,0.544388740572846,0.535138448600223
1991,136.166666666667,0.574573807943958,0.567339244911047,0.557698976345918
1992,140.308333333333,0.592050134905288,0.584595524269724,0.574662035785571
1993,144.475,0.609631952773831,0.601955966280466,0.591727487938138
1994,148.225,0.625455588855519,0.617580364090134,0.607086394875449
1995,152.383333333333,0.643002243088324,0.634906085216854,0.624117716123712
1996,156.858333333333,0.661885115479138,0.653551199936391,0.64244601173557
1997,160.525,0.677357115203455,0.668828388905844,0.65746360962983
1998,163.008333333333,0.687835878653106,0.679175212344246,0.66763461911276
1999,166.583333333333,0.702921078384315,0.694070471589463,0.682276777059664
2000,172.191666666667,0.726586205235373,0.717437626535922,0.70524687565702
2001,177.041666666667,0.747051441234356,0.737645181036425,0.725111061962609
2002,179.866666666667,0.758971913749228,0.749415560719708,0.73668143852205
2003,184,0.776413077074821,0.766637119194364,0.753610367057397
2004,188.908333333333,0.797124458523964,0.787087719883018,0.773713469693122
2005,195.266666666667,0.823954312591359,0.813579754391411,0.799755349677941
2006,201.558333333333,0.850502857572858,0.839794021827631,0.825524182428318
2007,207.344166666667,0.874916969865116,0.863900731603747,0.849221269287374
2008,215.25425,0.908294644543114,0.89685814192578,0.881618664962852
2009,214.564666666667,0.90538485368587,0.893984988773002,0.878794332631602
2010,218.076166666667,0.920202106512762,0.908615674881975,0.8931764130877
2011,224.923,0.949093252907066,0.937143047611707,0.921219046682886
2012,229.586083333333,0.968769768556466,0.956571812683608,0.940317676804911
2013,232.948916666667,0.982959702121809,0.970583078221638,0.954090861928205
2014,236.703916666667,0.998804436384939,0.986228308561719,0.969470247408099
2015,236.98725,1,0.987408818618449,0.970630698154474
2016,240.00925,1.0127517408637,1,0.983007929291688
2017,244.158,1.0302579569154,1.0172857921101,1
