system:index,1,10,11,111,112,12,121,122,123,124,13,131,14,141,142,143,152,176,190,195,2,204,205,206,207,208,209,21,210,211,212,213,214,216,217,218,219,22,220,221,222,223,224,225,226,227,229,23,230,231,232,233,234,235,236,237,238,239,24,240,241,242,243,244,245,246,247,248,249,25,250,254,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,81,82,83,87,88,92,Year,masterid,status,.geo
1_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,0,
2_1_1_0000c9410cd8eeef69f2,1.3624867398173538E8,,,218854.1318359375,,,4.8095402059720606E7,3571015.7716231993,335700.1240234375,87494.51196289062,,14587.001953125,,331738.8792509191,,4868.20703125,610.7926470588235,3.468370388009659E8,2700701.702265242,4859.89111328125,,,,,,,,245740.14721679688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0169967157049632E8,,,,,,,,,,,99711.76831054688,,,99714.91577148438,4865.551025390625,347738.80322265625,4866.658203125,,,,,,,,2323572.81322572,,,,8.524798598743297E7,,,,,,,,,,428001.19873046875,,,,2434.56298828125,,,,,,,3105553.8693847656,,1.2195428983618641E8,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20063,rainfed,
2_1_1_0000f7052da40ecff5b7,9.3299563144829E7,,,19442.77099609375,,,3.091466756496532E7,2262205.453229359,480776.8439941406,92321.18286132812,,19438.333740234375,,322386.7980612362,,,359765.0490722656,2.0227975303346837E8,496751.0295266544,2429.962646484375,,,,,,,,333009.599609375,,,,,,,,,,,,,,,,,,,,4866.72607421875,,,,,,,,,,,1.6191427834642118E8,,,,,,,,,,,36481.575927734375,,,145804.91577148438,,2430.764404296875,,,,,,,,,690835.3942871094,,,,5.262269645813995E7,,,,,,,,,,814325.7678222656,,,,,,,,,,,1477891.9602050781,,1.1546885293855505E8,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20109,rainfed,
2_1_1_0000dcf10f0cb4ba5f7a,4.457369876410482E8,,,212932.44482421875,,,1.1280075673037398E8,6259188.2346957335,1094174.3305664062,259000.60620117188,,24231.778076171875,,1190852.296082261,,,240029.65966796875,6.180902596230164E8,1922496.3436542586,14539.681640625,2422.195556640625,,,,,,,143122.318359375,,,,,,,,,,,,,,,,,,,,4843.729736328125,,,,,,,,,,,7.176017405584022E8,,,,,,,,,,,280721.8605957031,,,523110.34716796875,4843.22509765625,21804.785400390625,19363.315185546875,,,,,,,,4045081.1470243568,,,,1.6788673666576675E8,,,,,,,,,,5638215.978759766,,,,,,,,,,,1.044580992578125E7,,3.855092239061332E8,,,,,,,,,,,,,,,,,,,7255.363037109375,,,2007,county_KS-20193,rainfed,
2_1_1_0000eb4a0cb035fec454,3.177595723748784E8,,,341542.525390625,,,8.965915067807136E7,1820889.1050446155,302595.2922363281,55672.102294921875,,19382.803955078125,,1000920.4590446921,,2414.45849609375,16959.267578125,9.834214907155572E8,1.5806956485279758E7,14564.099609375,,,,,,,,55709.278564453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.214527979995834E8,,,,,,,,,,,384081.8120002298,,,145345.2744140625,76.16178768382353,143015.515625,2418.2802734375,,,,,,,,1.0651420838676663E7,,,,1.1858962438721852E8,,,,,,,,,,2586789.4145507812,,,,,,,,,,,2217391.4279785156,,1.9772521180452666E8,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20179,rainfed,
2_1_1_0000049edb91ced8c6a7,1.0694516747231156E7,,,14582.7099609375,,,1.1687414085611977E7,7289.170654296875,,,,,,13656.53169519761,,,131837.23605813418,2.4777254242685354E8,126003.05467792586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5578781012860946E7,,,,,,,,,,,2429.3994140625,,,,,,29167.551513671875,,,,,,,,43729.016357421875,,,,1476611.4532226562,,,,,,,,,,,,,,,,,,,,,848664.8569862515,,2.2971678895971198E7,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20199,rainfed,
2_1_1_000004bb6ab96b2a2cf1,2.905677347592228E8,,,486767.41552734375,,,1.2110399587185393E8,6713979.759765625,777499.7663574219,181660.10766601562,,7273.851318359375,,626382.3946365656,2416.198486328125,,135740.08227539062,9.308184051357851E8,1577237.9484949447,12074.705078125,,,,,,,,2427.639892578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.587604659219851E8,,,,,,,,,,,121061.0908203125,,,198642.90698242188,36322.846435546875,60613.818115234375,1550130.2509765625,,,,,,,,4902846.274902344,,,,6.454541762249924E7,,,4851.244140625,,,,,,,72618.42919921875,,,,,,,,,,,3.2464590145612173E7,,4.1339832532481146E8,,,,,,,,,,,,,,,,,,,16909.09912109375,,,2007,county_KS-20181,rainfed,
2_1_1_0000e2ace869ba158daf,36595.180199716604,,,,,,101426.93035864737,,,,,,,,,,,150293.21325157015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78183.2930367264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.1082117417279,,,,,,,,,,,,,,,,,,,,,2432.2792892156863,,57575.980373966,,,,,,,,,,,,,,,,,,,,,,2007,county_CO-08063,rainfed,
2_1_1_000000c6078df8fc72ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,county_CO-08017,rainfed,
