system:index,1,10,11,111,112,12,121,122,123,124,13,131,14,141,142,143,152,176,190,195,2,204,205,206,207,208,209,21,210,211,212,213,214,216,217,218,219,22,220,221,222,223,224,225,226,227,229,23,230,231,232,233,234,235,236,237,238,239,24,240,241,242,243,244,245,246,247,248,249,25,250,254,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,81,82,83,87,88,92,Year,masterid,.geo
1_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,
2_1_0000c9410cd8eeef69f2,1.6002186293684036E8,,,57909.668518066406,,,3.78147689355002E7,3406582.2234231383,394684.04526726215,68352.59912109375,,86530.80670166016,,2240386.031405101,,,41145.59100341797,2.7594875150724286E8,2262568.6930522844,,,,20939.200561523438,,,,,541666.099609375,,,,,,,,,,,,,,,,572975.3388671875,4189.9613037109375,,,,,,,,,,937641.2525634766,,,,2.4458701492381212E8,,,,,,,,,,,,,,17446.23046875,698.2169189453125,4593608.895812988,,,,,,,,,3453658.948486328,498031.8506563074,,,8.700691689625722E7,,,,,,,,,,2606015.4404864144,,,,17449.71356201172,,,,,,,1311356.4758911133,,1.6542224071942976E8,,,,,,,,,,,,,,,,,,,,,,2013,county_KS-20063,
2_1_0000f7052da40ecff5b7,1.3926131405400103E8,,,26947.594605210248,,,2.543878532668385E7,2101729.642601102,376745.7931267233,110164.42456054688,,25812.79571533203,,458226.34523853974,,,,1.759222292198688E8,256679.03719458485,13249.645812988281,,,385119.1125488281,,,,,,,,,,,,,,,,,,,,,11857.21044921875,,,,,,,,,,,1619555.0513870534,,,,1.4335638017693678E8,,,,,,,,,,,,,,4883.1629638671875,,17452.199096679688,20233.76953125,,,,,,,,436199.03045654297,4186.993347167969,,,6.422239424904666E7,,,,,,,,,,509019.2935731177,,,,259699.21002197266,,,,,,,44485.84001799939,,1.35242444891748E8,,,,,,,,,,,,,,,,,,,,,,2013,county_KS-20109,
2_1_0000dcf10f0cb4ba5f7a,8.289147297472552E8,,,37600.962463378906,,,9.058335049979103E7,6356667.462571087,863966.427628102,416824.18829345703,,37559.22351074219,,1364686.3971682081,,,693.025390625,4.722816834107077E8,2141808.637322639,,2080.9109497070312,,34072.29235839844,,,,,1388.4092407226562,,,,,,,,,,,,,,,,4298336.145818493,6252.4859619140625,,,,,,,,,,1.349285534880467E7,,,,6.214604890716267E8,,,,,,,,,,,,,,1071708.1670532227,,349072.91302490234,1492689.6919555664,,,,,,,,5933095.786641199,24299.49871826172,,,2.479604228933295E8,,,,,,,,,,3.1437611534362793E7,,,,8334.9091796875,,,,,,,3447670.57993547,,4.4969123783160144E8,,,,,,,,,,,,,,,,,,,,,,2013,county_KS-20193,
2_1_0000eb4a0cb035fec454,5.02668582630291E8,,,224518.43536376953,,,6.908618154313052E7,1802093.7417712642,268456.18389677163,102127.78332519531,,81418.08837890625,,2543607.7184364465,,,30637.668701171875,8.348626611721425E8,1.654940768155063E7,,,,41723.67840576172,,,,,105012.51452636719,,,,,,,,,,,,,,,,316908.3772583008,54281.0361328125,,,,,,,,,,1127184.0046386719,,,,3.53924856050326E8,,,,,,,,,,,,,,30618.933532714844,4866.033264160156,2332935.784057617,693.8565063476562,,,,,,,,1.9288548960710354E7,1403665.9626342773,,,2.2831780428118873E8,,,696.3143920898438,,,,,,,4.067263671692445E7,,,,10448.601440429688,,,,,,,171393.89176097198,,2.4513668873277202E8,,,,,,,,,,,,,,,,,,,,,,2013,county_KS-20179,
2_1_0000049edb91ced8c6a7,1.7029195064155854E7,,,2092.6173095703125,,,9612928.418609258,16042.027099609375,,,,1394.5884399414062,,11856.515319824219,,,,2.1740289718026596E8,91927.4997335995,8979.590571863511,,,697.181396484375,,,,,1394.8927001953125,,,,,,,,,,,,,,,,365452.06744384766,,,,,,,,,,,699312.409828575,,,,3.612064866479541E7,,,,,,,,,,,,,,,,325689.23443603516,52039.9944637523,,,,,,,,393979.09619140625,519249.9292516372,,,1.317614080029201E7,,,,,,,,,,1382363.576524682,,,,,,,,,,,308957.4291381836,,2.7253647134014532E7,,,,,,,,,,,,,,,,,,,,,,2013,county_KS-20199,
2_1_000004bb6ab96b2a2cf1,5.917372442989283E8,,,48670.967041015625,,,9.108198416391411E7,6069664.886469821,672895.729309082,322541.0498046875,,13197.357421875,,553090.2077026367,,,20861.33868408203,7.236147552695632E8,1496625.5679507984,18182.710148351332,,,4164.667236328125,,,,,5561.393127441406,,,,,,,,,,,,,,,,2088013.7864355948,693.4173583984375,,,,,,,,,,3.953818075937213E7,,,,5.388987448564961E8,,,,,,,,,,,,,,,,479171.50494384766,3302025.9643741385,,,,,,,,5447979.229431152,243614.49739200366,,,2.2138468950933957E8,,173.9670343137255,,,,,,,,6512520.711791992,,,,693.5443725585938,,,,,,,1.2283394980825387E7,,4.898926121667629E8,,,,,,,,,,,,,,,,,,,,,,2013,county_KS-20181,
2_1_0000e2ace869ba158daf,8.395627269110802E7,,,,,,8417382.224111281,152505.38901223574,6256.7017822265625,695.2348022460938,,,,17387.784606933594,,,,7.168526977735215E7,17054.859354894303,695.6696166992188,,,3474.5579833984375,,,,,3483.2675170898438,,,,,,,,,,,,,,,,17625.950197706035,,,,,,,,,,,900996.7927832509,,,,7.297142249844947E7,,,,,,,,,,,,,,,1387.3494262695312,4175.263671875,684042.003374167,,,,,,,,627563.3853759766,7906.041801901425,,,2335066.9890560373,696.5037231445312,972679.470343616,7661.490539550781,,,,,,,635400.817101572,,,,,,,,,,,1222569.6379559687,,4.610002614488309E7,,,,,,,,,,,,,,,,,,,,,,2013,county_CO-08063,
2_1_000000c6078df8fc72ec,19201.712889667586,,,,,,21328.472571758193,,,,,,,,,,,108745.28684010232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105923.87897183286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.8661285998775,,,,,,,,,,,,,,,,,,,,,,,3314.8288995481003,,,,,,,,,,,,,,,,,,,,,,2013,county_CO-08017,
