system:index,1,10,11,111,112,12,121,122,123,124,13,131,14,141,142,143,152,176,190,195,2,204,205,206,207,208,209,21,210,211,212,213,214,216,217,218,219,22,220,221,222,223,224,225,226,227,229,23,230,231,232,233,234,235,236,237,238,239,24,240,241,242,243,244,245,246,247,248,249,25,250,254,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,81,82,83,87,88,92,Year,masterid,.geo
1_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,
2_1_0000c9410cd8eeef69f2,2.208780779608595E8,,,64878.43096923828,,,3.897571911227572E7,2780939.27468142,355329.23886311846,129041.35021972656,,30000.395446777344,,485264.77047310624,,,,2.892822877228338E8,1961307.6223106235,,6979.686340332031,,2793.720458984375,,,,,,,,,,,,,,,,,,,,,4488628.906840007,,,,,,,,,,,3769713.1370188994,,,,1.8407105212517112E8,,,,,,,,,,,,,,431848.23419189453,,525278.3510131836,285879.26776123047,,,,,,,,3632094.481971172,,,,8.081508759581226E7,,,,,,,,,,8065074.955440746,,,,1438471.2036132812,,,,,,,2012205.2548512178,,1.494474404033452E8,,,,,,,,,,,,,,,,,,,,,,2011,county_KS-20063,
2_1_0000f7052da40ecff5b7,1.3018350284448579E8,,,2094.4228515625,,,2.6184686006720804E7,1986688.4704080012,470469.7194039139,112954.43096923828,,66126.2937938017,,156956.9233757468,,,4185.784729003906,1.830330707634639E8,208212.05414344938,1396.59619140625,20248.589782714844,,3489.321533203125,,,,,,,,,,,,,,,,,,,,,1796692.6595590631,,,,,,,,,,,6921054.03295324,,,,1.2432025582643633E8,,,,,,,,,,,,,,,,4360.848201497396,76042.15338134766,,,,,,,,967848.2040405273,,,,4.901969518971809E7,,,,,,,,,,718267.9749332203,,,,157336.64691353595,,,,,,,5937473.563852587,,1.5777268474869192E8,,,,,,,,,,,,,,,,,,,,,,2011,county_KS-20109,
2_1_0000dcf10f0cb4ba5f7a,9.061396141346494E8,,,44520.954345703125,,,9.191220994704972E7,5867560.461004998,1141314.4111165365,343873.4246826172,,186917.07373046875,,634120.1880198759,,,17394.63995361328,4.827804312490962E8,2051211.454376819,4165.5689697265625,695.5457763671875,,65442.539001464844,,,,,693.1075439453125,,,,,,,,,,,,,,,,7014107.755124081,,,,,,,,,,,6739102.572398227,,,,5.930243026040342E8,,,,,,,,,,,,,,328787.9064941406,,348232.55860116996,51993.75973809934,,,,,,,,4735138.724393956,,,,1.2360862816403377E8,,6255.955810546875,6955.78466796875,,,,,,,3.927028567260287E7,,,,674713.8344116211,,,,,,,1.9718059579093426E7,,4.969944588819434E8,,,,,,,,,,,,,,,,,,,,,,2011,county_KS-20193,
2_1_0000eb4a0cb035fec454,6.102262869477501E8,,,227978.17016601562,,,7.021403501331067E7,1530081.1712780523,244598.13933057597,91010.14343261719,,78520.00244140625,,1703381.8439474667,,,18741.963500976562,8.5238708644148E8,1.045583772952809E7,,4862.430908203125,,14593.317199707031,,,,,,,,,,,,,,,,,,,,,3555345.3624605066,,,,,,,,,,2780.3643798828125,7865520.08814793,,,,3.126552667850363E8,,,,,,,,,,,,,,134091.11364746094,,626288.3645019531,4176.4447021484375,,,,,,,,1.780847851197486E7,,,,1.3627571048324808E8,,3481.41943359375,,,,,,,,4.3062791046725884E7,,,,224100.32318115234,,,,,,,938606.0680247587,,2.5080700668772188E8,,,,,,,,,,,,,,,,,,,,,,2011,county_KS-20179,
2_1_0000049edb91ced8c6a7,2.3240825355125286E7,,,,,,8932676.133736879,7494.436785529641,,,,10460.497680664062,,22319.260986328125,,,3487.4104614257812,2.2338552437898284E8,71699.66568818934,4881.489562988281,,,1394.976806640625,,,,,,,,,,,,,,,,,,,,,697.8134765625,,,,,,,,,,,318172.7635641659,,,,3.01525385116374E7,,,,,,,,,,,,,,,,29986.12628173828,110282.17846703622,,,,,351455.2589455997,,,705046.1165161133,,,,849215.5499018651,,,,,,,,,,2789.60986328125,,,,276137.94512939453,,,,,,,3825108.632145661,,3.2474691800236724E7,,,,,,,,,,,,,,,,,,,,,,2011,county_KS-20199,
2_1_000004bb6ab96b2a2cf1,6.571286049969673E8,,,32662.247192382812,,,8.99444392106278E7,6306153.9185195025,881404.9533081055,292649.91345214844,,49363.372619628906,,436383.0206298828,,,41714.98760986328,7.464563231036587E8,1139848.4154849781,27124.81854248047,,,14597.051391601562,,,,,,,,,,,,,,,,,,,,,42361.77258300781,,,,,,,,,,,484278.70510158164,,,,6.215079655900152E8,,,,,,,,,,,,,,,,205646.46057128906,2563915.5467194202,,,,,18804.31219482422,,,4908329.59954834,261.9434206495098,,,4.176968420712484E7,,305.1847694546569,,,,,,,,1.1222093445884556E7,,,,266876.1641845703,,,,,,,3.690530109857537E7,,5.130848544625341E8,,,,,,,,,,,,,,,,,,,,,,2011,county_KS-20181,
2_1_0000e2ace869ba158daf,9.879638747075938E7,,,12532.714721679688,,,7395541.24629744,177963.5606969497,5561.46435546875,,,,,9039.60888671875,,,,7.05228893475251E7,24709.824931066178,67464.88049316406,,,,,,,,,,,,,,,,,,,,,,,,2667807.143238741,,,,,,,,,,,193993.25595798867,,,,5.11093991388545E7,,,,,,,,,,,,,,,92281.04680606618,716368.3690185547,823679.6784055224,,,,,117037.99398432713,,,740806.4222412109,672779.321050427,,,417332.12017822266,1388.5535278320312,1440492.8395428825,7637.264221191406,,,,,,,928159.377746582,,,,,,,,,,,3668807.838134287,,5.013963801435548E7,,,,,,,,,,,,,,,,,,,,,,2011,county_CO-08063,
2_1_000000c6078df8fc72ec,,,,,,,19683.37272111481,,,,,,,,,,,19713.52055496515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219289.75244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.4005840226715,,,,,,,,,,,,,,,,,,,,,,2011,county_CO-08017,
