response,point.pred,point.pred.lower,point.pred.upper,variable,masterid,year
31.77876198,30.232716771139014,23.77849924312674,36.35832939612533,pumping,LEMA,1996
30.2408221116,34.307617060801505,28.30896214101359,39.84238279160632,pumping,LEMA,1997
29.4432662784,33.8036843805169,28.233852036199657,39.814309122416724,pumping,LEMA,1998
26.3276191464,33.403424121600544,27.717939599017853,39.16037323324166,pumping,LEMA,1999
40.7752347036,38.188671361759994,32.48579497755786,43.94275146473861,pumping,LEMA,2000
36.287106710399996,33.43434820330309,28.027599284463363,38.94755439999477,pumping,LEMA,2001
44.527641216,43.26736432199994,36.458975381167264,49.717470841735135,pumping,LEMA,2002
41.755653946799995,40.40829760801662,33.84966996607002,46.37083105467107,pumping,LEMA,2003
40.844568614399996,34.26176693036392,28.342867392417343,39.70383836238584,pumping,LEMA,2004
35.014796759999996,31.510868259433764,25.793660942939653,37.55137082014635,pumping,LEMA,2005
32.983859605199996,34.240506481136144,28.749995777124493,40.17265669394571,pumping,LEMA,2006
36.4665287112,37.038972739176714,31.415822434633068,42.5620248046491,pumping,LEMA,2007
34.367774826,31.472302655064844,25.634546629982495,37.00811827857279,pumping,LEMA,2008
27.445497400799997,29.339879435574957,23.77400077745702,35.61563411721751,pumping,LEMA,2009
33.235933578,36.39913158358872,30.626319689933986,42.27258180539628,pumping,LEMA,2010
32.3111072784,31.299591892912815,25.189375044582743,37.35276538284074,pumping,LEMA,2011
41.7820010796,41.965406565123125,35.92483514080076,48.05845769892189,pumping,LEMA,2012
24.3779066496,38.60740384836586,32.713279995164875,44.49875823999794,pumping,LEMA,2013
24.9896387208,35.25081571395266,29.434287989109947,41.2141031407663,pumping,LEMA,2014
20.6014472772,31.052790746079147,25.099705875148583,36.99929840197593,pumping,LEMA,2015
23.179469816399997,33.33472300119064,27.5664326291112,39.501856559955094,pumping,LEMA,2016
17.7626917356,23.386408112070896,15.861209822179056,30.213912925800834,pumping,LEMA,2017
29.554045117199998,27.236204176128503,18.966831875186923,34.5634023580359,pumping,Control,1996
30.6698881296,34.05295867656934,27.136958195238993,40.705037740420586,pumping,Control,1997
30.592561268399997,32.89076010264043,26.371311162081398,39.14867753671017,pumping,Control,1998
24.6987594672,30.140478914248177,24.104851728995946,36.53506444288679,pumping,Control,1999
41.987424838799996,40.7383236393107,33.27959753610785,47.66146182295222,pumping,Control,2000
35.7029429172,32.675139388687,26.492403652323482,39.07463970472829,pumping,Control,2001
43.0824097044,43.2432865969121,35.61695929971558,50.653421325021924,pumping,Control,2002
37.9330994268,39.070005941574195,32.86939377173802,45.735231144615774,pumping,Control,2003
38.5091469216,32.56795902487287,26.22946326044241,38.59840736268977,pumping,Control,2004
32.8189063248,30.313747921162335,23.528696761555643,37.48328169035406,pumping,Control,2005
38.5199892108,36.48901398345873,29.12888927520718,43.451832876289934,pumping,Control,2006
34.9112954532,33.1466775133952,24.577791699219453,41.77784360202183,pumping,Control,2007
29.743334958,29.77855124392155,23.24140968831177,35.6101147330907,pumping,Control,2008
21.5683599144,26.951648345852412,20.19089139106457,33.65727973027727,pumping,Control,2009
27.422110619999998,32.13771911552696,24.961816839860347,38.85757468011421,pumping,Control,2010
33.6413044452,29.673206792255066,23.131155507568394,36.85055810817889,pumping,Control,2011
43.3784449044,42.57074513695346,35.42924844220881,49.733921871747334,pumping,Control,2012
37.3452228588,35.937864454979625,29.271871728194387,43.05020814073727,pumping,Control,2013
32.7276288048,32.85079846965606,26.039267246854696,39.43357603669644,pumping,Control,2014
31.638996361199997,30.936882995087085,24.404171319738754,37.304117157614975,pumping,Control,2015
33.3468604344,34.97381222404422,28.316153200499507,41.89991557462279,pumping,Control,2016
22.577987964,20.65122000336269,12.036913290682499,29.125055922119465,pumping,Control,2017
0,0.8674015660643666,-1.3800705871572962,3.1701321034726773,wtElev,LEMA,1996
0.4977207197777034,0.3912762662310336,-1.6533045032607148,2.436184093415924,wtElev,LEMA,1997
-0.09286618714793349,-0.09725144168648336,-2.289605104039265,2.02197331192316,wtElev,LEMA,1998
0.2181181634676932,-0.5868989415350017,-2.625267076669481,1.3673026370404484,wtElev,LEMA,1999
-0.7811130017223604,-1.061162558036776,-3.1398014554188265,1.050345612428523,wtElev,LEMA,2000
-0.7355962978647312,-1.559285652393334,-3.6863766388085715,0.37593647566841293,wtElev,LEMA,2001
-1.7681167063556131,-2.0266451542800588,-4.025462272323154,0.14633252622624093,wtElev,LEMA,2002
-2.9127648970387554,-2.5204765723542204,-4.556000184584981,-0.4426968906345552,wtElev,LEMA,2003
-3.480163663429721,-3.018992830002974,-5.1941927096707055,-0.9467975109442368,wtElev,LEMA,2004
-4.024671108975326,-3.5105032224212196,-5.558485113145382,-1.5129135393655817,wtElev,LEMA,2005
-4.418538584924136,-3.989599319531629,-6.009543699610115,-1.9696650460194365,wtElev,LEMA,2006
-4.600397836218235,-4.4783922198082635,-6.649417507273887,-2.545382011421392,wtElev,LEMA,2007
-5.221141656278633,-4.970994082536045,-7.033613888168116,-2.92273215730588,wtElev,LEMA,2008
-5.496956003539935,-5.460090404281027,-7.5345853703033505,-3.2301618679912525,wtElev,LEMA,2009
-5.817003784923145,-5.9356216214747946,-8.121816575091202,-3.812615106444937,wtElev,LEMA,2010
-6.424399223745809,-6.428152210256064,-8.514755787575313,-4.190968935436001,wtElev,LEMA,2011
-6.599115473460415,-6.895276243265547,-9.084590127500018,-4.814667747686222,wtElev,LEMA,2012
-7.234530375732788,-7.388797198780672,-9.464359962847388,-5.202450740527658,wtElev,LEMA,2013
