masterid,year,crop,volume_m3,area_m2,depth_m,system
null_geo9,1996,2,313427.268,647497.6,0.4840605,1
sheridan,1996,2,156639.6252,485623.2,0.3225546,3
sheridan,1996,24,134227.2936,501810.64,0.267486581,3
sheridan,1996,17,165668.6988,477529.48,0.346929559,3
null_geo9,1996,2,0,0,0,4
sheridan,1996,23,287314.4964,607029,0.47331376,6
sheridan,1996,18,153716.2776,550372.96,0.279295412,3
sheridan,1996,-99,0,0,0,-99
null_geo9,1996,2,194877.5052,445154.6,0.437775927,3
null_geo9,1996,2,163806.144,445154.6,0.367976727,4
sheridan,1996,2,164706.5844,546326.1,0.301481067,3
sheridan,1996,2,129910.1136,558466.68,0.232619826,4
null_geo9,1996,2,140481.0372,428967.16,0.327487472,6
sheridan,1996,2,280777.0524,566560.4,0.495583029,4
sheridan,1996,2,155011.4316,485623.2,0.3192018,4
sheridan,1996,16,110359.4556,485623.2,0.2272538,3
sheridan,1996,2,231043.1388,505857.5,0.456736704,3
null_geo9,1996,2,296059.8696,979340.12,0.302306182,3
null_geo9,1996,2,191917.1532,647497.6,0.29639895,1
null_geo9,1996,2,179755.0404,465388.9,0.386247861,3
null_geo9,1996,2,327069.5568,505857.5,0.646566144,3
sheridan,1996,-99,0,0,0,-99
sheridan,1996,2,224851.0692,485623.2,0.4630166,4
null_geo9,1996,26,369081.8856,1011715,0.364809024,3
sheridan,1996,16,363851.9304,639403.88,0.569050025,1
sheridan,1996,2,154900.4184,505857.5,0.306214272,4
sheridan,1996,16,56777.0844,161874.4,0.3507486,6
sheridan,1996,-99,0,0,0,-99
null_geo9,1996,-99,354317.13,890309.2,0.397971818,-99
sheridan,1996,16,107312.76,384451.7,0.279132632,3
null_geo9,1996,2,40741.8444,222577.3,0.183046255,1
null_geo9,1996,24,207792.0408,615122.72,0.337806632,3
null_geo9,1996,2,174734.7768,408732.86,0.427504634,3
sheridan,1996,2,124914.5196,485623.2,0.2572258,4
null_geo9,1996,2,151570.0224,493716.92,0.306998557,3
sheridan,1996,16,136114.518,477529.48,0.285039661,3
null_geo9,1996,2,307296.8724,971246.4,0.3163951,3
null_geo9,1996,2,178521.5604,485623.2,0.3676142,3
sheridan,1996,-99,0,0,0,-99
sheridan,1996,16,145353.2832,485623.2,0.2993136,3
null_geo9,1996,-99,0,0,0,1
null_geo9,1996,2,246547.9824,546326.1,0.451284622,4
null_geo9,1996,24,289436.082,971246.4,0.2980055,3
sheridan,1996,2,169665.174,493716.92,0.343649508,3
null_geo9,1996,2,84308.358,242811.6,0.347218,3
null_geo9,1996,2,237691.596,283280.2,0.839070857,3
sheridan,1996,-99,0,0,0,-99
null_geo9,1996,2,229525.9584,497763.78,0.461115317,3
sheridan,1996,26,118303.0668,509904.36,0.232010857,3
sheridan,1996,2,170269.5792,493716.92,0.344873705,3
sheridan,1996,24,125642.2728,501810.64,0.250378452,3
sheridan,1996,23,274251.9432,566560.4,0.484065943,4
sheridan,1996,16,59614.0884,250905.32,0.237596516,6
null_geo9,1996,2,151249.3176,477529.48,0.316733695,3
sheridan,1996,2,68063.4264,242811.6,0.2803144,3
sheridan,1996,2,168530.3724,526091.8,0.3203448,3
