system:index,0,1,aridity,groups,masterid,pdsi_ann,pdsi_grow,pr_ann,pr_calendar,pr_early,pr_grow,.geo
00003a5cab3f7f683b09,3.21531295258884E8,1.5307176097349688E8,0.1996955611603652,"[{group=0, sum=3.21531295258884E8}, {group=1, sum=1.5307176097349688E8}]",buffer,-1.478645742572678,-1.8622805004873229,338.10884592561933,439.7701650810496,114.1440085761791,203.53488253593133,
0000b97eef25f3d82ec0,7.229860790053837E7,7.831484537966403E7,0.1963215263023689,"[{group=0, sum=7.229860790053837E7}, {group=1, sum=7.831484537966403E7}]",sheridan,-1.292724243061041,-1.6328429472764043,344.2993892793927,442.83207635897986,122.02226481136816,200.9084716730296,
0000bbb21f16a722675e,5.9226299758517824E7,7.06264688146166E7,0.19100705609130775,"[{group=0, sum=5.9226299758517824E7}, {group=1, sum=7.06264688146166E7}]",null_geo9,-1.7151134882232049,-2.1866225043991006,320.87683553176197,423.40856833940137,107.15828722036801,194.54652373794428,
